"","id","clat","clong"
"Achham","Achham",29.091812789084,81.3170725504071
"Arghakhanchi","Arghakhanchi",27.9077933411765,83.0658590878824
"Baglung","Baglung",28.3397524688,83.2731611970444
"Baitadi","Baitadi",29.483380453319,80.5356686363362
"Bajhang","Bajhang",29.7071058074888,81.1411763179372
"Bajura","Bajura",29.5655856948552,81.549758197461
"Banke","Banke",28.1260525493966,81.7998115714368
"Bara","Bara",27.1354085413283,85.0647524810436
"Bardiya","Bardiya",28.3369494931937,81.4612645454974
"Bhaktapur","Bhaktapur",27.6629472073729,85.4385560250848
"Bhojpur","Bhojpur",27.218320309646,87.066667990118
"Chitawan","Chitawan",27.5499527813496,84.3654803641626
"Dadeldhura","Dadeldhura",29.2274747164786,80.4854011794582
"Dailekh","Dailekh",28.8982677391481,81.6715920907778
"Dang","Dang",27.9784187505139,82.4381415552248
"Darchula","Darchula",29.8927109399804,80.7413610572745
"Dhading","Dhading",27.952753701098,84.9805586273142
"Dhankuta","Dhankuta",26.9742659439773,87.3667553698864
"Dhanusa","Dhanusa",26.7958724469504,86.0072197519858
"Dolakha","Dolakha",27.8235220291683,86.1957607158994
"Dolpa","Dolpa",29.2528636491341,83.0781105415
"Doti","Doti",29.1761235670909,80.8853101903864
"Gorkha","Gorkha",28.2888404630055,84.780484439723
"Gulmi","Gulmi",28.0875540720219,83.3092020794262
"Humla","Humla",30.035133406201,81.8906346677574
"Ilam","Ilam",26.8560452999338,87.9452082988521
"Jajarkot","Jajarkot",28.8679843701053,82.1977928964737
"Jhapa","Jhapa",26.5719750079114,87.955321130981
"Jumla","Jumla",29.2728937978118,82.2097627347529
"Kailali","Kailali",28.7609187661719,80.8263499140234
"Kalikot","Kalikot",29.2130760300857,81.7687383161714
"Kanchanpur","Kanchanpur",28.8347946785676,80.3820903262973
"Kapilbastu","Kapilbastu",27.6221685617026,82.9780085004095
"Kaski","Kaski",28.3066165098596,84.0105273428652
"Kathmandu","Kathmandu",27.732885495498,85.3504299150199
"Kavrepalanchok","Kavrepalanchok",27.5250368120398,85.6164780043035
"Khotang","Khotang",27.1052415141644,86.7634468390137
"Lalitpur","Lalitpur",27.5887179087442,85.3453208034884
"Lamjung","Lamjung",28.2368266901942,84.4179017640453
"Mahottari","Mahottari",26.8577711744602,85.8205951560511
"Makwanpur","Makwanpur",27.4398838226512,85.1170256537545
"Manang","Manang",28.6946910097923,84.2357414992285
"Morang","Morang",26.5831554705541,87.4538739491029
"Mugu","Mugu",29.6346044037002,82.3594037775758
"Mustang","Mustang",29.0220902213508,83.8879626705066
"Myagdi","Myagdi",28.5287738056555,83.4753562906941
"Nawalparasi","Nawalparasi",27.664767355679,83.9389231176749
"Nuwakot","Nuwakot",27.8721381806825,85.2055327869436
"Okhaldhunga","Okhaldhunga",27.328503629963,86.4172330501481
"Palpa","Palpa",27.8214375566962,83.6190852231486
"Panchthar","Panchthar",27.059530984389,87.8200036901995
"Parbat","Parbat",28.1980536327839,83.6743677717949
"Parsa","Parsa",27.1823228581613,84.7601135856098
"Pyuthan","Pyuthan",28.0943770594778,82.8836270524282
"Ramechhap","Ramechhap",27.4538932905488,86.1744689631504
"Rasuwa","Rasuwa",28.213695278325,85.453665065725
"Rautahat","Rautahat",27.0324396069492,85.2912168125706
"Rolpa","Rolpa",28.3257138561281,82.6162526334819
"Rukum","Rukum",28.6923762564544,82.6634180509554
"Rupandehi","Rupandehi",27.5544307148861,83.3833033719255
"Salyan","Salyan",28.3783387568874,82.1238347237086
"Sankhuwasabha","Sankhuwasabha",27.5245441944326,87.2985562127837
"Saptari","Saptari",26.5968522939666,86.7372550622756
"Sarlahi","Sarlahi",26.9658111260106,85.561702403484
"Sindhuli","Sindhuli",27.2108557763763,85.9002812879617
"Sindhupalchok","Sindhupalchok",27.9489992440241,85.7584735732048
"Siraha","Siraha",26.6852784007397,86.3265155900822
"Solukhumbu","Solukhumbu",27.7542343356164,86.6987917477169
"Sunsari","Sunsari",26.6835364216077,87.1812749048875
"Surkhet","Surkhet",28.6672744973294,81.5542245460624
"Syangja","Syangja",28.0117054215108,83.7799836301439
"Tanahu","Tanahu",27.9488785942276,84.2337059239431
"Taplejung","Taplejung",27.6185886916667,87.856660930535
"Terhathum","Terhathum",27.1335003159659,87.5540156364205
"Udayapur","Udayapur",26.8970624284968,86.6243081513924
